csv_name,PH,Brix,L*,a*,b*,C*,ho
80_3_5.csv,3.94,15.8,74.87,-13.29,61.36,82,97.21
80_4_5.csv,3.90,15.5,73.83,-10.62,58.45,78.87,96.35
80_5_5.csv,3.94,15.6,74.02,-8.79,51.64,71.96,95.41
80_6_5.csv,3.89,16,73.53,-6.03,54.52,69.52,94.96
80_7_5.csv,3.93,15.9,73.28,-5.68,53.45,69.56,93.32
80_8_5.csv,3.93,15.8,73.75,-5.24,54.28,69.48,94.33
80_9_5.csv,3.91,15.6,73.34,-5.58,51.98,72.19,94.43
80_10_5.csv,3.94,16.1,73.21,-5.91,52.66,72.9,94.65
80_11_5.csv,3.95,15.9,72.92,-5.11,49.66,69.85,94.2
80_12_5.csv,3.98,16,73.76,-5.36,48.8,69.01,94.46
80_13_5.csv,4,16.2,73.53,-4.21,51.21,71.33,93.38
80_14_5.csv,3.94,15.8,72.38,-4.93,50.95,69.07,93.69
80_15_5.csv,3.97,16,72.01,-4.98,56.22,66.4,94.3
80_16_5.csv,4.04,16,73.45,-5.44,54.02,74.22,94.21
80_17_5.csv,4.03,16,74.26,-6.12,52.11,69.38,95.06
80_18_5.csv,3.98,15.5,74.63,-5.49,54.15,74.35,94.24
80_19_5.csv,3.92,16,75.01,-5.65,57.86,68.1,94.76
80_20_5.csv,3.99,16.1,76.29,-5.97,57.95,68.21,95.02
80_0_6.csv,3.91,15.8,72.99,-14.44,63.62,84.4,97.79
80_1_6.csv,3.91,16.6,72.95,-15.73,62.5,83.48,98.77
80_2_6.csv,3.89,15.6,72.61,-15.95,62.67,83.68,98.9
80_3_6.csv,3.89,15.6,73.31,-14.26,62.57,83.57,97.76
80_4_6.csv,3.95,15.9,73.58,-11.72,54.08,74.59,96.72
80_5_6.csv,3.93,15.8,75.12,-9.27,57.55,77.99,96.08
80_6_6.csv,3.92,16,73.82,-6.34,52.49,72.77,95
80_7_6.csv,3.85,16,73.28,-5.82,54.13,68.21,93.7
80_8_6.csv,3.9,15.8,73.56,-5.78,54.11,68.35,94.85
80_9_6.csv,3.9,16,74.69,-6.25,51.89,72.16,94.96
80_10_6.csv,3.88,16,73.33,-6.08,53.39,68.66,95.08
80_11_6.csv,3.92,16,75.11,-5.65,54.98,75.19,94.31
80_12_6.csv,3.95,16.1,74.15,-5.69,50.36,70.59,94.62
80_13_6.csv,3.91,16.5,73.8,-4.88,52.9,73.06,93.83
80_14_6.csv,3.96,16,72.58,-4.5,52.48,69.57,92.97
80_15_6.csv,3.97,15.8,72.17,-4.88,54.7,74.86,93.74
80_16_6.csv,4,16,72.69,-5.47,56.55,76.74,94.09
80_17_6.csv,4,16,74.68,-6.54,54.91,74.91,95.01
80_18_6.csv,3.92,15.5,74.64,-5.37,58.14,78.31,93.93
80_19_6.csv,3.93,16.1,74.54,-5.27,60.06,80.24,93.77
80_20_6.csv,4.01,16.1,75.85,-4.93,58.42,80.57,93.51
80_0_7.csv,3.94,16,74.45,-12.22,64.23,84.23,96.25
80_1_7.csv,3.98,17,73.77,-12.37,63.9,84.42,96.37
80_2_7.csv,3.94,17,72.87,-12.24,61.77,82.77,96.45
80_3_7.csv,3.94,17,73.8,-11.48,60.92,81.36,95.98
80_4_7.csv,4,17.2,73.97,-8.38,62.37,82.62,94.43
80_5_7.csv,4.02,17.1,74.32,-5.77,60.33,80.53,94.11
80_6_7.csv,4.04,17.5,74.61,-6.02,58.73,78.96,94.37
