486.40,727.66
486.77,700.55
487.13,784.16
487.50,700.55
487.86,707.33
488.22,720.88
488.58,750.26
488.95,786.42
489.31,781.90
489.67,727.66
490.04,698.29
490.40,686.99
490.76,748.00
491.13,757.04
491.49,795.46
491.85,768.34
492.22,813.54
492.58,698.29
492.94,790.94
493.30,822.58
493.67,838.40
494.03,818.06
494.39,793.20
494.75,741.22
495.12,799.98
495.48,763.82
495.84,732.18
496.20,813.54
496.57,761.56
496.93,761.56
497.29,836.14
497.65,763.82
498.01,772.86
498.38,2915.18
498.74,994.32
499.10,881.33
499.46,829.36
499.83,851.96
500.19,811.28
500.55,813.54
500.91,881.33
501.27,824.84
501.63,872.29
502.00,4361.47
502.36,1073.42
502.72,931.05
503.08,847.44
503.44,924.27
503.80,892.63
504.17,847.44
504.53,942.35
504.89,924.27
505.25,897.15
505.61,899.41
505.97,955.91
506.33,985.28
506.69,885.85
507.06,922.01
507.42,985.28
507.78,937.83
508.14,942.35
508.50,1030.48
508.86,971.73
509.22,969.47
509.58,976.25
509.94,983.02
510.30,996.58
510.66,1019.18
511.03,1021.44
511.39,1039.52
511.75,1073.42
512.11,1100.54
512.47,1077.94
512.83,1109.58
513.19,1231.61
513.55,1120.87
513.91,1195.45
514.27,1242.91
514.63,1179.63
514.99,1267.76
515.35,1202.23
515.71,1263.24
516.07,1369.46
516.43,1290.36
516.79,1242.91
517.15,1249.68
517.51,1294.88
517.87,1358.16
518.23,1319.74
518.59,1299.40
518.95,1346.86
519.31,1441.77
519.67,1351.38
520.03,1416.91
520.39,1421.43
520.75,1484.71
521.11,1455.33
521.47,1489.23
521.83,1505.05
522.19,1355.90
522.55,1428.21
522.90,1450.81
523.26,1541.20
523.62,1620.30
523.98,1498.27
524.34,1552.50
524.70,1633.86
525.06,1688.09
525.42,1575.10
525.78,1649.67
526.14,1624.82
526.50,1599.96
526.85,1694.87
527.21,1599.96
527.57,1742.33
527.93,1733.29
528.29,1624.82
528.65,1724.25
529.01,1706.17
529.37,1746.85
529.72,1744.59
530.08,1685.83
530.44,1703.91
530.80,1719.73
531.16,1812.38
531.52,1819.16
531.87,1715.21
532.23,1834.98
532.59,1857.58
532.95,1764.93
533.31,1798.82
533.66,1825.94
534.02,1701.65
534.38,1771.70
534.74,1844.02
535.10,1776.22
535.45,1783.00
535.81,1812.38
536.17,1844.02
536.53,1963.79
536.89,1751.37
537.24,1794.30
537.60,1916.33
537.96,1873.40
538.32,1938.93
538.67,1841.76
539.03,1911.81
539.39,1936.67
539.75,1905.03
540.10,1853.06
540.46,2070.00
540.82,1938.93
541.17,1925.37
541.53,1981.87
541.89,2076.78
542.25,1995.43
542.60,2085.82
542.96,2029.33
543.32,2058.70
543.67,2033.84
544.03,2027.07
544.39,2110.68
544.74,2182.99
545.10,2173.95
545.46,2085.82
545.81,2153.62
546.17,2162.66
546.53,2194.29
546.88,2228.19
547.24,2223.67
547.60,2273.39
547.95,2277.91
548.31,2198.81
548.66,2384.12
549.02,2479.03
549.38,2386.38
549.73,2510.67
550.09,2501.63
550.45,2399.94
550.80,2440.61
551.16,2381.86
551.51,2458.69
551.87,2585.24
552.23,2564.90
552.58,2472.25
552.94,2531.01
553.29,2689.19
553.65,2675.64
554.00,2666.60
554.36,2662.08
554.71,2623.66
555.07,2469.99
555.43,2673.38
555.78,2784.11
556.14,2705.01
556.49,2610.10
556.85,2585.24
557.20,2729.87
557.56,2711.79
557.91,2743.43
558.27,2682.42
558.62,2766.03
558.98,2691.45
559.33,2919.70
559.69,2836.08
560.04,2829.30
560.40,2815.75
560.75,2747.95
561.11,2847.38
561.46,2797.67
561.82,2833.82
562.17,2705.01
562.53,2833.82
562.88,2935.52
563.24,2818.00
563.59,2813.49
563.94,2881.28
564.30,2856.42
564.65,2917.44
565.01,2946.82
565.36,2928.74
565.72,2833.82
566.07,2949.08
566.42,2901.62
566.78,2892.58
567.13,2978.45
567.49,2906.14
567.84,2876.76
568.19,2851.90
568.55,2958.11
568.90,2973.93
569.26,2962.63
569.61,2865.46
569.96,2946.82
570.32,2976.19
570.67,2917.44
571.02,3019.13
571.38,3014.61
571.73,2937.78
572.08,2933.26
572.44,2951.33
572.79,2912.92
573.14,2897.10
573.50,2876.76
573.85,2940.04
574.20,3084.66
574.56,2888.06
574.91,2944.56
575.26,3019.13
575.62,2838.34
575.97,2919.70
576.32,2912.92
576.68,2845.12
577.03,2949.08
577.38,3100.48
577.73,2985.23
578.09,3023.65
578.44,3023.65
578.79,2921.96
579.14,2994.27
579.50,2906.14
579.85,3003.31
580.20,2982.97
580.55,3053.03
580.91,3030.43
581.26,2869.98
581.61,3037.21
581.96,2944.56
582.32,2998.79
582.67,3057.55
583.02,3016.87
583.37,3068.85
583.72,3034.95
584.08,3127.60
584.43,3093.70
584.78,2985.23
585.13,3111.78
585.48,3048.51
585.84,3071.11
586.19,3089.18
586.54,3274.49
586.89,3066.59
587.24,3084.66
587.59,3134.38
587.95,3107.26
588.30,3156.98
588.65,3073.37
589.00,3102.74
589.35,3073.37
589.70,3161.50
590.05,3105.00
590.40,3265.45
590.76,3168.28
591.11,3053.03
591.46,3199.92
591.81,3215.73
592.16,3091.44
592.51,3279.01
592.86,3193.14
593.21,3138.90
593.56,3028.17
593.91,3172.80
594.26,3132.12
594.62,3179.58
594.97,3283.53
595.32,3077.89
595.67,3190.88
596.02,3156.98
596.37,3231.55
596.72,3204.44
597.07,3098.22
597.42,3147.94
597.77,3204.44
598.12,3202.18
598.47,3276.75
598.82,3229.29
599.17,3233.81
599.52,3378.44
599.87,3242.85
600.22,3254.15
600.57,3245.11
600.92,3301.61
601.27,3263.19
601.62,3181.84
601.97,3310.65
602.32,3154.72
602.67,3260.93
603.02,3385.22
603.37,3175.06
603.72,3281.27
604.07,3337.77
604.42,3294.83
604.77,3166.02
