property_name,rank,group,feature_selection,fs_param,model,dataset_tag,best_param_json
a*,69,selected,corr_topk,40,gpr,a_/SELECTED_20260508_102659,"{""kernel"": ""squaredexponential""}"
a*,70,selected,corr_topk,40,knn,a_/SELECTED_20260508_102659,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""distance""}"
a*,71,selected,corr_topk,40,cnn,a_/SELECTED_20260508_102659,"{""activation"": ""relu"", ""hidden_layer_sizes"": [50, 50], ""max_iter"": 1000}"
a*,72,selected,corr_topk,40,xgb,a_/SELECTED_20260508_102659,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
a*,73,selected,corr_topk,80,pls,a_/SELECTED_20260508_105304,"{""cv_fold"": 10, ""n_components"": 4}"
a*,74,selected,corr_topk,80,pcr,a_/SELECTED_20260508_105304,"{""n_components"": 4}"
a*,75,selected,corr_topk,80,svr,a_/SELECTED_20260508_105304,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}"
a*,76,selected,corr_topk,80,rf,a_/SELECTED_20260508_105304,"{""min_samples_leaf"": 5, ""n_estimators"": 200}"
a*,77,selected,corr_topk,80,gpr,a_/SELECTED_20260508_105304,"{""kernel"": ""matern32""}"
a*,78,selected,corr_topk,80,knn,a_/SELECTED_20260508_105304,"{""metric"": ""manhattan"", ""n_neighbors"": 7, ""weights"": ""distance""}"
a*,79,selected,corr_topk,80,cnn,a_/SELECTED_20260508_105304,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""max_iter"": 1000}"
a*,80,selected,corr_topk,80,xgb,a_/SELECTED_20260508_105304,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 100}"
a*,81,selected,corr_topk,120,pls,a_/SELECTED_20260508_112022,"{""cv_fold"": 10, ""n_components"": 4}"
a*,82,selected,corr_topk,120,pcr,a_/SELECTED_20260508_112022,"{""n_components"": 5}"
a*,83,selected,corr_topk,120,svr,a_/SELECTED_20260508_112022,"{""C"": 10.0, ""gamma"": ""scale"", ""kernel"": ""rbf""}"
a*,84,selected,corr_topk,120,rf,a_/SELECTED_20260508_112022,"{""min_samples_leaf"": 5, ""n_estimators"": 200}"
a*,85,selected,corr_topk,120,gpr,a_/SELECTED_20260508_112022,"{""kernel"": ""matern32""}"
a*,86,selected,corr_topk,120,knn,a_/SELECTED_20260508_112022,"{""metric"": ""euclidean"", ""n_neighbors"": 7, ""weights"": ""distance""}"
a*,87,selected,corr_topk,120,cnn,a_/SELECTED_20260508_112022,"{""activation"": ""relu"", ""hidden_layer_sizes"": [100], ""max_iter"": 1000}"
a*,88,selected,corr_topk,120,xgb,a_/SELECTED_20260508_112022,"{""learning_rate"": 0.1, ""max_depth"": 3, ""n_estimators"": 200}"
a*,89,selected,spa,8,pls,a_/SELECTED_20260508_114620,"{""cv_fold"": 10, ""n_components"": 3}"
